subject	activity	tBodyAccmeanX	tBodyAccmeanY	tBodyAccmeanZ	tBodyAccstdX	tBodyAccstdY	tBodyAccstdZ	tGravityAccmeanX	tGravityAccmeanY	tGravityAccmeanZ	tGravityAccstdX	tGravityAccstdY	tGravityAccstdZ	tBodyAccJerkmeanX	tBodyAccJerkmeanY	tBodyAccJerkmeanZ	tBodyAccJerkstdX	tBodyAccJerkstdY	tBodyAccJerkstdZ	tBodyGyromeanX	tBodyGyromeanY	tBodyGyromeanZ	tBodyGyrostdX	tBodyGyrostdY	tBodyGyrostdZ	tBodyGyroJerkmeanX	tBodyGyroJerkmeanY	tBodyGyroJerkmeanZ	tBodyGyroJerkstdX	tBodyGyroJerkstdY	tBodyGyroJerkstdZ	tBodyAccMagmean	tBodyAccMagstd	tGravityAccMagmean	tGravityAccMagstd	tBodyAccJerkMagmean	tBodyAccJerkMagstd	tBodyGyroMagmean	tBodyGyroMagstd	tBodyGyroJerkMagmean	tBodyGyroJerkMagstd	fBodyAccmeanX	fBodyAccmeanY	fBodyAccmeanZ	fBodyAccstdX	fBodyAccstdY	fBodyAccstdZ	fBodyAccmeanFreqX	fBodyAccmeanFreqY	fBodyAccmeanFreqZ	fBodyAccJerkmeanX	fBodyAccJerkmeanY	fBodyAccJerkmeanZ	fBodyAccJerkstdX	fBodyAccJerkstdY	fBodyAccJerkstdZ	fBodyAccJerkmeanFreqX	fBodyAccJerkmeanFreqY	fBodyAccJerkmeanFreqZ	fBodyGyromeanX	fBodyGyromeanY	fBodyGyromeanZ	fBodyGyrostdX	fBodyGyrostdY	fBodyGyrostdZ	fBodyGyromeanFreqX	fBodyGyromeanFreqY	fBodyGyromeanFreqZ	fBodyAccMagmean	fBodyAccMagstd	fBodyAccMagmeanFreq	fBodyBodyAccJerkMagmean	fBodyBodyAccJerkMagstd	fBodyBodyAccJerkMagmeanFreq	fBodyBodyGyroMagmean	fBodyBodyGyroMagstd	fBodyBodyGyroMagmeanFreq	fBodyBodyGyroJerkMagmean	fBodyBodyGyroJerkMagstd	fBodyBodyGyroJerkMagmeanFreq
1	LAYING	0.22159824394	-0.0405139534294	-0.11320355358	-0.9280564692	-0.83682740562	-0.826061401628	-0.24888179828	0.70554977346	0.4458177198	-0.8968300184	-0.90772000676	-0.85236629022	0.0810865342	0.0038382040088	0.010834236361	-0.958482112	-0.9241492736	-0.9548551108	-0.016553093978	-0.064486124088	0.14868943626	-0.87354386782	-0.9510904402	-0.9082846626	-0.107270949192	-0.04151728689	-0.0740501211	-0.9186085208	-0.9679072436	-0.9577901596	-0.8419291525	-0.79514486386	-0.8419291525	-0.79514486386	-0.9543962646	-0.9282456284	-0.874759548	-0.81901016976	-0.96346103	-0.9358409828	-0.9390990524	-0.86706520518	-0.8826668762	-0.9244374346	-0.8336255561	-0.81289155944	-0.158792670508	0.097534841586	0.08943765522	-0.9570738838	-0.9224626098	-0.9480609042	-0.9641607086	-0.9322178704	-0.9605869872	0.132419092398	0.024513618956	0.02438794528	-0.850249174586	-0.9521914948	-0.909302721	-0.8822964508	-0.9512320494	-0.9165825082	-0.003546795856	-0.091529130882	0.01045812566	-0.8617676481	-0.7983009404	0.08640856294	-0.9333003608	-0.9218039756	0.26639115416	-0.8621901854	-0.82431943968	-0.1397750127	-0.9423669466	-0.9326606676	0.17648590708
2	LAYING	0.281373403958333	-0.018158739758333	-0.107245610416667	-0.974059464791667	-0.98027739875	-0.984233296875	-0.509754238125	0.752536639375	0.646834879583333	-0.959014441458333	-0.988211865208333	-0.984230418125	0.082597251166667	0.012254788451875	-0.00180264895625	-0.98587216875	-0.98317254125	-0.988442014375	-0.01847660675	-0.111800824583333	0.144882846104167	-0.988275232916667	-0.982291608958333	-0.960306560416667	-0.101974134208333	-0.035859017608333	-0.070178302083333	-0.993235849166667	-0.989567537916667	-0.98803582125	-0.977435485208333	-0.972873912916667	-0.977435485208333	-0.972873912916667	-0.987741696041667	-0.98551807625	-0.950011569583333	-0.961164053958333	-0.991767074166667	-0.989718095208333	-0.976725059791667	-0.979800877916667	-0.984380981875	-0.973246482083333	-0.981025105625	-0.984792185	-0.146482792591667	0.2572894655	0.402532553395833	-0.985813630833333	-0.982768250416667	-0.986197134583333	-0.987250255833333	-0.984987392916667	-0.989345368541667	0.159808328563875	0.1212064240125	0.190558218145833	-0.9864311425	-0.983321635416667	-0.9626718875	-0.988860685833333	-0.981910616458333	-0.963174222291667	0.10261131938125	0.04228066839375	0.055298598647917	-0.975110196458333	-0.975121387916667	0.2662982125	-0.985374114791667	-0.984568489166667	0.3417585745	-0.972112972708333	-0.96109837875	0.01856447223125	-0.990248702291667	-0.989492660416667	0.264801505395833
3	LAYING	0.275516852741935	-0.018955678504839	-0.101300477506452	-0.982776639193548	-0.962057544516129	-0.96369103483871	-0.241758478064516	0.837032099677419	0.48870318516129	-0.982512193064516	-0.981202749677419	-0.964807543870968	0.076981112580645	0.013804101130645	-0.004356258743556	-0.98087931483871	-0.968710724677419	-0.982093162903226	-0.020817054033065	-0.071850715943548	0.137999561112903	-0.974545752096774	-0.977272653709677	-0.963505609032258	-0.10004449883871	-0.038977176532258	-0.06873387	-0.980328645	-0.986762741935484	-0.983338279516129	-0.972791346129032	-0.964218176451613	-0.972791346129032	-0.964218176451613	-0.979484593387097	-0.976121297903226	-0.951564751451613	-0.954275110967742	-0.98671362516129	-0.983139255645161	-0.980665609032258	-0.961169982903226	-0.968332141612903	-0.983691129032258	-0.964094604193548	-0.96327908016129	-0.07395264398871	0.238470751435484	0.216971671672581	-0.980513202258064	-0.968752113709677	-0.979122344354839	-0.983122615967742	-0.971044012741936	-0.983711904677419	0.17597855438871	-0.013177496175807	0.044819690590323	-0.970167262903226	-0.978099682258065	-0.962341960806452	-0.975986433709677	-0.977032495483871	-0.967256854193548	-0.082216645429032	-0.026682010890323	0.147686455548065	-0.96552427516129	-0.968350217419355	0.236990127870968	-0.975949597903226	-0.975305377903226	0.238611133937097	-0.96458672483871	-0.955441855806452	-0.022929611469355	-0.984278251290323	-0.982568158064516	0.110697704185484
4	LAYING	0.263559214981481	-0.015003184105556	-0.110688150314815	-0.954193738888889	-0.941714042407407	-0.962667314814815	-0.420664662222222	0.915165104259259	0.341531310555556	-0.921199965925926	-0.969816635740741	-0.976176608888889	0.093449421777778	0.006933132139685	-0.006410543287407	-0.978302781111111	-0.942209488333333	-0.978511984259259	-0.009231563472222	-0.093012818075926	0.169720404092593	-0.973102422222222	-0.961109291851852	-0.962073755	-0.105019877685185	-0.038123043222222	-0.071215628833333	-0.975103204259259	-0.986855629814815	-0.983965359814815	-0.954557603148148	-0.931292216611111	-0.954557603148148	-0.931292216611111	-0.970095771666667	-0.960786430740741	-0.930236462592593	-0.947031781666667	-0.985068502037037	-0.982698213703704	-0.958802077592593	-0.938883374444444	-0.967504278888889	-0.952464881481481	-0.946380971111111	-0.962154454259259	-0.274194618766667	0.366231448994444	0.201329591976111	-0.978542457407407	-0.943969987222222	-0.975383329444444	-0.980079292592593	-0.944366881666667	-0.980261236296296	0.182436483157407	0.09874288362963	0.0770211165	-0.967203736481482	-0.972187839074074	-0.961479262592593	-0.975094739444444	-0.956182500185185	-0.965807466666667	-0.066092182394444	-0.526889995562963	0.152886311603704	-0.939389701296296	-0.937187975962963	0.241697899814815	-0.96228712537037	-0.958037119259259	0.274027349574074	-0.961556660185185	-0.947100325185185	-0.259851969798148	-0.983609073333333	-0.982543631666667	0.202949381537037
5	LAYING	0.278334325576923	-0.018304212326923	-0.107937603673077	-0.965934509615385	-0.969295613269231	-0.968562516346154	-0.483470597692308	0.954890346153846	0.263644691923077	-0.945695336153846	-0.985964053846154	-0.977076645	0.084816482423077	0.007474608296154	-0.003040671596538	-0.983307862115385	-0.964560430961538	-0.985419368461538	-0.021893501350192	-0.079870959615385	0.159894366942308	-0.979498706538461	-0.977427370576923	-0.960583776923077	-0.102114125	-0.040444692528846	-0.07083096875	-0.983422257692308	-0.983759479230769	-0.989679592307692	-0.966777882884615	-0.958612786346154	-0.966777882884615	-0.958612786346154	-0.980141253846154	-0.977477145384615	-0.946938300576923	-0.958287921923077	-0.9864194225	-0.98377138	-0.968741678461538	-0.965419520961538	-0.977007724615385	-0.964953893653846	-0.972909186730769	-0.965882191153846	-0.135632454076923	0.466528231788462	0.132310871284615	-0.982689657115385	-0.965328566153846	-0.983250309423077	-0.985625270384615	-0.96624258	-0.986135599038461	0.239915157321154	0.195677336307692	0.091693878848077	-0.975797491730769	-0.978249645769231	-0.963202948461538	-0.980705769807692	-0.977257800961538	-0.963305738076923	-0.022723585711539	0.06812484775	0.041360028100962	-0.962234984038462	-0.962525369423077	0.292032094967308	-0.977356379807692	-0.976381934807692	0.197005001461538	-0.968257068846154	-0.959263063269231	0.102441765923077	-0.984618025769231	-0.983434493076923	0.024736710661539
6	LAYING	0.248656520140351	-0.01025291705614	-0.133119570368421	-0.934049422052632	-0.924644826385965	-0.925216100350877	-0.47670987877193	0.956593814210526	0.175867709021053	-0.887746310350877	-0.959161956491228	-0.928130738421053	0.096348195526316	-0.001145292402456	0.003288172880702	-0.966341054736842	-0.933674494385965	-0.959646055263158	-0.007960502675439	-0.107218315054386	0.179102058245614	-0.955378225087719	-0.943634949473684	-0.939141878596491	-0.111267284631579	-0.042410428999298	-0.071777474385965	-0.939611608245614	-0.958628819649123	-0.959579071578947	-0.918878850824561	-0.897326245964912	-0.918878850824561	-0.897326245964912	-0.954750504912281	-0.950341934385965	-0.908980174736842	-0.920914497017544	-0.955645738245614	-0.953157001578947	-0.939114254210526	-0.923706791403509	-0.938044912280702	-0.932462941461404	-0.929711219929825	-0.924004748421053	-0.219729934157895	0.348418746140351	0.161457927833333	-0.967072436842105	-0.936043420175439	-0.954425844736842	-0.968619159473684	-0.935717452807018	-0.963567540877193	0.011473189407018	-0.022202946029825	0.078468403212281	-0.935439769649123	-0.941771544385965	-0.932636612807018	-0.962164978596491	-0.945365097894737	-0.947136774385965	0.102549066280877	0.023656780233333	0.044522553761404	-0.91235165222807	-0.905373979824561	0.1446050868	-0.948655471052632	-0.951552664035088	0.182525077889474	-0.930153639473684	-0.928694890175439	0.119317522942105	-0.953695957368421	-0.955504654561404	0.16376531874386
7	LAYING	0.250176694038462	-0.020441151688462	-0.101361036576923	-0.93651361	-0.926262668653846	-0.952978365961539	-0.502814250576923	0.393444278076923	0.907537823461538	-0.914221270096154	-0.955543549230769	-0.961908984423077	0.096890401807692	0.025062418363462	-0.013165391820577	-0.980977756153846	-0.973093160192308	-0.972983064230769	-0.002826419130962	-0.133605695057692	0.155920029769231	-0.9601268225	-0.945071935384615	-0.955294890576923	-0.105944243484615	-0.035889742582692	-0.067190179461539	-0.9738372325	-0.976483727307692	-0.988871878269231	-0.936392023846154	-0.907039513153846	-0.936392023846154	-0.907039513153846	-0.980127239615385	-0.967310932307692	-0.915793634807692	-0.918662459038462	-0.983008829038462	-0.971205137884615	-0.953424245576923	-0.942193953846154	-0.958611644615385	-0.931120580576923	-0.922917902307692	-0.953380646346154	-0.635913046346154	-0.043829266580769	0.237111987323077	-0.980393046923077	-0.972531648846154	-0.969524977692308	-0.983560175384615	-0.975886145	-0.975072995192308	0.020715920296154	-0.045134261601923	0.0945605852	-0.953684547692308	-0.957570207692308	-0.956905310961538	-0.962348254423077	-0.939727873653846	-0.9588764125	-0.139745225083077	-0.453725644769231	0.0144682871075	-0.927976880634615	-0.910542462919231	-0.129091025169231	-0.968066259230769	-0.965359228076923	0.217605286703846	-0.941130719230769	-0.918892518653846	-0.265784491092308	-0.974117912115385	-0.969403035384615	0.104422952923077
8	LAYING	0.261254282907407	-0.021228173388148	-0.102245365611111	-0.94304121537037	-0.93489116	-0.932491454407407	-0.405930036111111	0.589922434814815	0.719831539259259	-0.918873192333333	-0.957990036481482	-0.94183626337037	0.087832690259259	0.023329915913704	-0.016921879134444	-0.973253042222222	-0.976520952037037	-0.96608757462963	0.005353612068519	-0.089137413859259	0.13818830737037	-0.965204017592593	-0.952039385740741	-0.96758975462963	-0.106445008314815	-0.038973519872222	-0.069412315092593	-0.969924077407407	-0.974186451851852	-0.987601203703704	-0.935308633888889	-0.91325033	-0.935308633888889	-0.91325033	-0.97314748962963	-0.962954517222222	-0.924253348518518	-0.932470764444444	-0.978438191296296	-0.969029111666667	-0.953538563888889	-0.951816663703704	-0.944269514074074	-0.940125298333333	-0.931236756962963	-0.931146497518519	-0.307248374366667	0.005397543574074	0.192435787087778	-0.973110596111111	-0.975877437407407	-0.962111136666667	-0.975959911481481	-0.979170881666667	-0.968699222962963	0.164984298959259	0.006672864211111	0.120248739635185	-0.957903886111111	-0.957411160185185	-0.967461239074074	-0.967846360740741	-0.950316470925926	-0.970671966481481	-0.105590903972222	-0.199880205519074	0.213568382200185	-0.932279645518518	-0.917257979425926	0.048498846351852	-0.961792852407407	-0.963791094259259	0.350822601333333	-0.944528950555556	-0.93678697	-0.062056375246296	-0.968403945925926	-0.971793279814815	0.219371246142593
9	LAYING	0.2591955368	-0.020526821662	-0.10754972144	-0.94233309	-0.9162927764	-0.9407072854	-0.5802528348	-0.1191541962	0.9578730416	-0.9218210626	-0.9699944882	-0.9712046902	0.08807344764	0.011561732718	-0.0070536778584	-0.9647404702	-0.9639966798	-0.958562455	-0.013632036148	-0.15890291983	0.101275010682	-0.9422465098	-0.9266185314	-0.9615953704	-0.10384667982	-0.027552256948	-0.0569490475	-0.945329035	-0.9621702422	-0.9770761602	-0.9308684376	-0.91512680016	-0.9308684376	-0.91512680016	-0.9633745492	-0.9550268052	-0.9071250998	-0.8985578738	-0.964524819	-0.9528015598	-0.946865494	-0.9343665984	-0.9459190006	-0.9409810272	-0.9128367508	-0.9419711636	-0.4459627774628	-0.215336752654	0.17810728092	-0.964304065	-0.9640828062	-0.955909215	-0.9686013042	-0.966634136	-0.9597147176	-0.08503093738	-0.227093669698	-0.094374360132	-0.930297921	-0.9345796594	-0.9598150092	-0.9463891504	-0.9231319366	-0.965686312	-0.23069917904112	-0.321206958058	-0.055125413678	-0.9266042952	-0.921929738394	-0.085609052452	-0.9543205856	-0.9550947122	0.1670029826292	-0.9186053356	-0.9034005814	-0.20634356866	-0.9558062546	-0.9522904702	-0.016201378678
10	LAYING	0.280230574137931	-0.024294484137931	-0.117168642362069	-0.968283685	-0.946454302068966	-0.95947148637931	-0.453069737586207	-0.139297681034483	-0.031121624137931	-0.954531941896552	-0.966701156034483	-0.963045642431035	0.073815064487931	0.015698997097069	0.007166895862759	-0.978007466724138	-0.966930793448276	-0.976256662586207	-0.019555937162069	-0.077032565726552	0.104720478344828	-0.961713199827586	-0.953660207586207	-0.971940597413793	-0.100308254413793	-0.038879792041379	-0.059074491275862	-0.965900578103448	-0.966621040344828	-0.983949302758621	-0.956781819655172	-0.940301654482759	-0.956781819655172	-0.940301654482759	-0.976234435172414	-0.967556980689655	-0.937590998793103	-0.927471165517241	-0.970830848965517	-0.959632931551724	-0.96918420862069	-0.954341849137931	-0.964300845172414	-0.96796803862069	-0.946229148258621	-0.959813667810345	-0.14052022862069	0.200554088396552	0.317328874567241	-0.979014668793104	-0.968039173793103	-0.972592212931034	-0.978904364137931	-0.968120692241379	-0.978582339137931	0.048557209949138	0.042594230048276	0.146112721943103	-0.953793912068965	-0.954670034482759	-0.969755777241379	-0.96454456637931	-0.953453496551724	-0.975298797068965	0.070757575134483	0.071312564648276	0.157620505460345	-0.950848109137931	-0.944304974655172	0.260388946262069	-0.968561121551724	-0.965377553448276	0.212826187810345	-0.937692642586207	-0.933701315344828	0.216535434472414	-0.960976821551724	-0.960772875517241	0.202624700274138
